seconds,state,googleCalls,netflixCalls
1,0.00,116,0
2,0.00,42,0
3,0.00,28,0
4,0.00,29,0
5,0.00,28,0
6,0.00,21,0
7,0.00,21,0
8,0.00,16,0
9,0.00,31,0
10,0.00,29,0
11,0.00,16,0
12,500.00,26,0
13,500.00,371,0
14,500.00,927,0
15,500.00,943,0
16,500.00,914,0
17,500.00,924,0
18,500.00,919,0
19,500.00,927,0
20,500.00,925,0
21,500.00,903,0
22,500.00,915,0
23,500.00,921,0
24,500.00,923,0
25,500.00,919,0
26,500.00,916,0
27,500.00,937,0
28,500.00,943,0
29,500.00,930,0
30,500.00,929,0
31,500.00,929,0
32,500.00,920,0
33,500.00,923,0
34,500.00,917,0
35,500.00,933,0
36,500.00,926,0
37,500.00,918,0
38,500.00,916,0
39,500.00,911,0
40,500.00,919,0
41,500.00,917,0
42,500.00,929,0
43,500.00,937,0
44,500.00,936,0
45,500.00,949,0
46,500.00,912,0
